	-----------------------STATISTIC REPORT FROM DEMULTIPLEXING-----------------

Quality score cutoff: 5
Total Reads: 363246735

Matched Reads Found: 331755033 - (91.33%)
Index Hopped Reads: 707740 - (0.19%)
Unknown index Reads: 30783962 - (8.469999999999999%)


	Individual Index pair percentages & total values:

C4_C4: 76363857 - (22.97%)
C10_C10: 42094112 - (12.659999999999998%)
B3_B3: 34976387 - (10.52%)
A11_A11: 17332036 - (5.21%)
A3_A3: 15733007 - (4.73%)
A10_A10: 11741547 - (3.53%)
B10_B10: 11316780 - (3.4000000000000004%)
B7_B7: 11184304 - (3.36%)
C9_C9: 10629633 - (3.2%)
A2_A2: 10087503 - (3.0300000000000002%)
B9_B9: 8872034 - (2.67%)
B4_B4: 8830276 - (2.6599999999999997%)
A8_A8: 8673180 - (2.6100000000000003%)
B1_B1: 8119243 - (2.44%)
A1_A1: 7942853 - (2.39%)
B2_B2: 7416557 - (2.23%)
C2_C2: 6887592 - (2.07%)
C1_C1: 6587100 - (1.9800000000000002%)
A5_A5: 5604966 - (1.69%)
C3_C3: 5064906 - (1.52%)
B8_B8: 4611350 - (1.39%)
C7_C7: 4191388 - (1.26%)
A12_A12: 3853350 - (1.16%)
A7_A7: 3641072 - (1.0999999999999999%)
B7_A3: 88571 - (0.03%)
A3_B7: 85536 - (0.03%)
C4_B3: 20269 - (0.01%)
C1_C10: 18138 - (0.01%)
A11_A12: 14841 - (0.0%)
B3_C4: 14152 - (0.0%)
C4_C10: 13576 - (0.0%)
C10_C4: 10986 - (0.0%)
A12_A2: 7836 - (0.0%)
C3_C4: 7265 - (0.0%)
B4_B7: 7066 - (0.0%)
B3_C10: 6129 - (0.0%)
C10_B3: 5933 - (0.0%)
C4_A10: 5863 - (0.0%)
C4_A3: 5737 - (0.0%)
C4_A11: 5282 - (0.0%)
A11_C4: 4738 - (0.0%)
C4_C9: 4661 - (0.0%)
B7_C4: 4625 - (0.0%)
A3_C4: 4606 - (0.0%)
C4_B7: 4603 - (0.0%)
C10_C2: 4468 - (0.0%)
B7_C10: 4277 - (0.0%)
A11_B3: 3996 - (0.0%)
A10_C4: 3632 - (0.0%)
C4_C2: 3453 - (0.0%)
B3_A11: 3445 - (0.0%)
C7_C9: 3205 - (0.0%)
C10_A3: 3200 - (0.0%)
C4_B4: 3170 - (0.0%)
C10_A11: 3013 - (0.0%)
C4_A1: 2928 - (0.0%)
C4_C3: 2913 - (0.0%)
A11_C10: 2907 - (0.0%)
C4_B10: 2906 - (0.0%)
C10_B7: 2865 - (0.0%)
C9_C4: 2851 - (0.0%)
C10_A10: 2779 - (0.0%)
C4_A8: 2734 - (0.0%)
A3_C10: 2719 - (0.0%)
B10_C4: 2707 - (0.0%)
C4_A2: 2665 - (0.0%)
B3_A3: 2652 - (0.0%)
B9_C4: 2578 - (0.0%)
A2_C4: 2521 - (0.0%)
B3_B2: 2491 - (0.0%)
B3_A10: 2379 - (0.0%)
B4_C4: 2326 - (0.0%)
A1_C4: 2271 - (0.0%)
C4_B9: 2269 - (0.0%)
A8_C4: 2227 - (0.0%)
C4_B1: 2217 - (0.0%)
C4_C1: 2203 - (0.0%)
B9_C10: 2178 - (0.0%)
B3_A5: 2171 - (0.0%)
A8_C10: 2149 - (0.0%)
C10_A8: 2140 - (0.0%)
C4_A5: 2118 - (0.0%)
C2_C4: 2090 - (0.0%)
A5_C4: 2046 - (0.0%)
B3_B10: 2037 - (0.0%)
A10_C10: 2011 - (0.0%)
B1_C4: 1975 - (0.0%)
A3_B3: 1941 - (0.0%)
C10_C1: 1934 - (0.0%)
C4_B8: 1922 - (0.0%)
A2_C10: 1858 - (0.0%)
A10_B3: 1857 - (0.0%)
A11_A2: 1851 - (0.0%)
B2_C4: 1846 - (0.0%)
A11_B2: 1829 - (0.0%)
C10_A1: 1807 - (0.0%)
C4_B2: 1798 - (0.0%)
B3_B7: 1742 - (0.0%)
C10_C9: 1719 - (0.0%)
B10_C10: 1660 - (0.0%)
C1_C4: 1650 - (0.0%)
C10_B8: 1643 - (0.0%)
C10_B10: 1619 - (0.0%)
C9_C10: 1611 - (0.0%)
B7_B3: 1574 - (0.0%)
B1_B2: 1532 - (0.0%)
C10_A2: 1520 - (0.0%)
A2_B3: 1513 - (0.0%)
C4_C7: 1434 - (0.0%)
C4_A7: 1427 - (0.0%)
B3_A1: 1401 - (0.0%)
C2_C10: 1391 - (0.0%)
C10_B4: 1381 - (0.0%)
B3_B4: 1359 - (0.0%)
B10_A11: 1359 - (0.0%)
A1_C10: 1352 - (0.0%)
B1_C10: 1351 - (0.0%)
C2_B3: 1349 - (0.0%)
B4_C10: 1345 - (0.0%)
C10_B1: 1326 - (0.0%)
C3_C10: 1316 - (0.0%)
B3_A2: 1308 - (0.0%)
B8_C10: 1307 - (0.0%)
A5_B3: 1304 - (0.0%)
B9_B3: 1292 - (0.0%)
B3_C9: 1277 - (0.0%)
B3_C2: 1257 - (0.0%)
A11_A10: 1256 - (0.0%)
B10_B3: 1255 - (0.0%)
A11_B10: 1253 - (0.0%)
A11_A3: 1247 - (0.0%)
A11_B1: 1242 - (0.0%)
C4_A12: 1237 - (0.0%)
C10_C3: 1234 - (0.0%)
B3_A8: 1211 - (0.0%)
B2_B3: 1195 - (0.0%)
C10_A5: 1187 - (0.0%)
B8_C4: 1173 - (0.0%)
B3_B1: 1165 - (0.0%)
A5_C10: 1160 - (0.0%)
B4_B3: 1151 - (0.0%)
A10_A3: 1126 - (0.0%)
B2_C10: 1122 - (0.0%)
A3_A11: 1116 - (0.0%)
B10_A10: 1115 - (0.0%)
C9_B3: 1106 - (0.0%)
A8_B3: 1100 - (0.0%)
A3_A10: 1090 - (0.0%)
C10_B2: 1090 - (0.0%)
C10_B9: 1079 - (0.0%)
A1_B3: 1060 - (0.0%)
B10_B1: 1058 - (0.0%)
C10_A12: 1053 - (0.0%)
B8_B9: 1047 - (0.0%)
C7_C4: 1043 - (0.0%)
C10_A7: 1042 - (0.0%)
B3_B9: 1033 - (0.0%)
B1_A11: 1014 - (0.0%)
B3_C3: 1010 - (0.0%)
A8_B1: 996 - (0.0%)
B7_B8: 991 - (0.0%)
B4_A3: 990 - (0.0%)
A11_C9: 977 - (0.0%)
A11_B7: 977 - (0.0%)
B1_B3: 965 - (0.0%)
B7_A10: 958 - (0.0%)
A12_C4: 957 - (0.0%)
C10_C7: 951 - (0.0%)
C7_C10: 938 - (0.0%)
A3_B8: 920 - (0.0%)
A2_C9: 917 - (0.0%)
B7_A11: 906 - (0.0%)
B10_A3: 889 - (0.0%)
C9_A11: 877 - (0.0%)
A11_A1: 851 - (0.0%)
A2_A11: 848 - (0.0%)
A3_B10: 845 - (0.0%)
A10_A11: 829 - (0.0%)
